id,country,date_raised,request,area,owner_role,status,source_id,notes
FU001,SOM,2026-08-03,"Share compiled country experiences of transition to government-led coordination, tailored to the Somalia context",transition,gwc-coordination,open,S011,Requested for use with the lead agency WASH chief.
FU002,SOM,2026-08-03,"Convene a peer exchange call on cluster–ABC relationships with countries running comparable structures",abc,gwc-coordination,open,S011,Counterparts named as being interested elsewhere; coordinator also trying to reach one other context directly.
FU003,SOM,2026-08-03,"Support rebuild of the WASH cluster dashboard and partner operational presence product",im,gwc-im,open,S011,Dashboard last updated late 2025. Partner 4W data is arriving; constraint is analytical capacity.
FU004,SOM,2026-08-03,"Explore financial support to subnational coordination capacity once the subnational review is complete",funding,gwc-management,open,S011,Caveats apply on what the funding can cover. Contingent on the September review.
FU005,SOM,2026-08-03,"Support MSNA indicator selection discussions with the assessment partner",assessment,gwc-assessment,open,S011,Country-level customisation of globally agreed indicators.
FU006,SOM,2026-08-03,"Advise on process for competitive selection of a new co-coordinating agency, including expression of interest and criteria",abc,gwc-coordination,open,S011,No standing GWC documentation identified during the call.
FU007,MMR,2026-08-04,"Support a secondary data review for Myanmar; no SDR has been done and partner assessments are scarce",transition,gwc-assessment,open,S012,Rapid needs assessments exist but cover a hazard outside the current plan scope.
FU008,MMR,2026-07-28,"Convene ABC peer exchange focused on subnational terms of reference, escalation pathways and information flow",abc,gwc-coordination,open,S012,Request went unanswered on the coordinator messaging group. Pairs with FU002 from Somalia.
FU009,MMR,2026-07-28,"Advise on classifying cluster products under the new information sharing protocol, including dual-use WASH data",im,gwc-im,open,S012,Sensitive material found on an openly shared drive. Comparable work exists in at least one other context.
FU010,MMR,2026-08-04,"Support revamp of the 4W dashboard and Q2 reporting migration",im,gwc-im,open,S012,
FU011,MMR,2026-08-04,"Join the experimentation on using vulnerability and exposure analysis for response planning, rather than leaving it to the producing team",assessment,gwc-assessment,open,S012,The producing team does not work on response planning.
FU012,MMR,2026-08-04,"Check whether the pooled fund treats differently sourced contributions under different rules",funding,country-cluster,open,S012,Raised by GWC; action sits with the country cluster.
FU013,COL,2026-08-03,"Send written observations on the proposed transition to a specialised technical roundtable under the national environmental health commission",transition,gwc-coordination,open,S103,Country to share the translated transfer plan first.
FU014,COL,2026-08-03,"Join a session on the country severity and needs methodology, which uses area-level government secondary data rather than a multi-sector needs assessment",assessment,gwc-assessment,open,S103,Of wider interest — approach may transfer to other contexts with strong official data.
FU015,COL,2026-08-03,"Share examples of indicative cross-dataset analysis combining response planning data, vulnerability analysis and secondary review",assessment,gwc-assessment,open,S103,Requested as reference examples from other countries.
FU016,COL,2026-08-03,"Reconnect the country team with the vulnerability analysis team, subject to the country office lead deciding on timing given the change of government",assessment,gwc-coordination,open,S103,Data already exists; political timing is the constraint.
FU017,COL,2026-08-03,"Consider a written global-level position supporting the country severity methodology if the challenge to it resurfaces",advocacy,gwc-coordination,open,S103,Offered during the call.
FU018,COL,2026-08-03,"Explore advocacy with the regional pooled fund on intersectoral packages and on what constitutes an emergency WASH intervention beyond supply distribution",funding,gwc-management,open,S103,Country cluster to pilot a costed intersectoral response proposal.
FU019,SDN,2026-07-27,"Clarify the global position on the new central planning and reporting platform and whether cluster reporting systems can bridge to it via an interface",im,gwc-im,open,S104,Country fears duplicate partner reporting and loss of sector control over beneficiary calculation.
FU020,SDN,2026-07-27,"Raise public health outcomes and indicators with the pooled fund unit so outbreak response can be planned as transmission reduction",funding,gwc-coordination,open,S104,Current structure offers only water, sanitation and hygiene outputs.
FU021,SDN,2026-07-27,"Continue field support team input on outbreak coordination, including the state coordinator training package and monitoring framework",abc,gwc-coordination,open,S104,Package is tailored to the context but may be reusable globally.
FU022,SDN,2026-07-27,"Include the country in the pilot of a sector-owned dashboard combining needs figures and vulnerability analysis",assessment,gwc-assessment,open,S104,Country has the assessment framework in place; agreed in principle.
FU023,SDN,2026-07-27,"Remote analysis support for household survey rounds from October onward",assessment,gwc-assessment,open,S104,Roughly half a day over two weeks; graphics production rather than methodology.
FU024,SDN,2026-07-27,"Showcase the water facility mapping and its link to development actors through a global communication channel",im,gwc-coordination,open,S104,Country reports previous submissions not being picked up.
FU025,NGA,2026-07-17,"Share the coordination capacity building package once the ministry capacity gap analysis is complete",transition,gwc-coordination,open,S105,Country to send the gap analysis first.
FU026,NGA,2026-07-17,"Share capacity mapping templates for assessing ministry readiness",transition,gwc-coordination,open,S105,
FU027,NGA,2026-07-17,"Provide outbreak coordination tools and indicators for tracking operational response and gaps",abc,gwc-coordination,open,S105,To be reviewed against the existing technical working group tools before a follow-up call.
